,Ticker,Sector,Exchange
858,FLCH,Financial,NYSE
859,FLCO,Financial,NYSE
860,FLEE,Financial,NYSE
861,FLGB,Financial,NYSE
862,FLGR,Financial,NYSE
863,FLHK,Financial,NYSE
864,FLIN,Financial,NYSE
865,FLIY,Financial,NYSE
866,FLJP,Financial,NYSE
867,FLKR,Financial,NYSE
868,FLLV,Financial,NYSE
869,FLMB,Financial,NYSE
870,FLME,Financial,NYSE
871,FLMX,Financial,NYSE
872,FLQH,Financial,NYSE
873,FLRN,Financial,NYSE
874,FLSW,Financial,NYSE
875,FLTB,Financial,NYSE
876,FLTR,Financial,NYSE
877,FM,Financial,NYSE
878,FMAT,Financial,NYSE
879,FMF,Financial,NYSE
880,FMN,Financial,NYSE
881,FMQQ,Financial,NYSE
882,FMY,Financial,NYSE
883,FNB,Financial,NYSE
884,FNCL,Financial,NYSE
885,FNDA,Financial,NYSE
886,FNDB,Financial,NYSE
887,FNDC,Financial,NYSE
888,FNDE,Financial,NYSE
889,FNDF,Financial,NYSE
890,FNDX,Financial,NYSE
891,FNF,Financial,NYSE
892,FNGD,Financial,NYSE
893,FNGG,Financial,NYSE
894,FNGO,Financial,NYSE
895,FNGS,Financial,NYSE
896,FNGU,Financial,NYSE
897,FNI,Financial,NYSE
898,FOA,Financial,NYSE
899,FOF,Financial,NYSE
900,FOVL,Financial,NYSE
901,FPAC,Financial,NYSE
902,FPE,Financial,NYSE
903,FPEI,Financial,NYSE
