date,code,close,preclose,volume,isST,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
2016/2/23,sz.300059,41.4,42.52,54856168,0,40.766,40.0355,46.5118,48.47286667,55.12485,64210103.25,66922511.72,0.027712541,0.041568812,-5,0,-5
2016/2/24,sz.300059,41.09,41.4,47844014,0,40.934,39.957,46.24,48.3758,54.9487,61879667.95,66666027.9,0.00145808,0.044029672,-5,0,-5
2016/2/25,sz.300059,36.98,41.09,76734306,0,40.617,39.7675,45.8942,48.21446667,54.71385,62243468.25,67384863.2,0.093849547,0.095843521,-5,0,-5
2016/2/26,sz.300059,36.87,36.98,46376571,0,40.404,39.551,45.4998,48.0824,54.51365,61337285.45,66478837.6,0.009403546,0.043062201,-5,0,-5
2016/2/29,sz.300059,33.18,36.87,76171291,0,39.86,39.1735,45.034,47.9302,54.3045,62559747.25,66870479.06,0.089711934,0.089711934,-5,0,-5
2016/3/1,sz.300059,34.5,33.18,77167322,0,39.139,39.043,44.544,47.7734,54.1006,62884677.8,66987028.9,0.039783002,0.089758019,-5,0,-5
2016/3/2,sz.300059,36.26,34.5,87491769,0,38.606,38.942,44.1046,47.60246667,53.9219,62952378.1,67572556.02,0.057451152,0.080272109,-5,0,-5
2016/3/3,sz.300059,36.15,36.26,79007745,0,38.078,38.9155,43.6736,47.42946667,53.72825,64100813.65,68177502.74,0.002758621,0.04204364,-5,0,-5
2016/3/4,sz.300059,34.2,36.15,72277627,0,37.315,38.698,43.17,47.25606667,53.4874,63878222,67720461.8,0.041748389,0.072556079,-5,0,-5
2016/3/7,sz.300059,35.28,34.2,64884191,0,36.591,38.581,42.7238,47.09193333,53.21075,64435047.75,67757645.58,0.006849315,0.052902876,-5,0,-5
2016/3/8,sz.300059,36.5,35.28,87493971,0,36.101,38.4335,42.3014,46.9262,52.9712,65216021.05,68464156.98,0.046444954,0.095845778,-5,0,-5
2016/3/9,sz.300059,35.42,36.5,51896521,0,35.534,38.234,41.8444,46.7846,52.7684,65362636.4,68538236.52,0.004776623,0.031911967,-5,0,-5
2016/3/10,sz.300059,34.45,35.42,49674538,0,35.281,37.949,41.4032,46.67433333,52.55605,64710469.85,68293759.6,0.027110986,0.055,-5,0,-5
2016/3/11,sz.300059,34.7,34.45,41127353,0,35.064,37.734,40.9484,46.59833333,52.3398,64390656.25,68193694.62,0.028148148,0.042583595,-5,0,-5
2016/3/14,sz.300059,36.59,34.7,95127701,0,35.405,37.6325,40.5662,46.5042,52.13875,67343095.55,68982882.64,0.033615819,0.068012752,-5,0,-5
2016/3/15,sz.300059,35.76,36.59,53965538,0,35.531,37.335,40.2008,46.4166,51.93105,65546313.75,68875553.92,0.020273973,0.030978261,-5,0,-5
